"RUN", "THge08", "N", "REDET_ε", "RECH_ε", "RESH_ε"
 1,   -3842833, 1073741824, 4.482482910E+00, 1.425529205E+01, 2.197891027E+01
 2,   -3851924, 1073741824, 4.482482910E+00, 1.470276098E+01, 2.236516222E+01
 3,   -3847657, 1073741824, 4.482482910E+00, 1.445510825E+01, 2.246523388E+01
 4,   -3850732, 1073741824, 4.482482910E+00, 1.475945995E+01, 2.326686226E+01
 5,   -3844734, 1073741824, 4.482482910E+00, 1.414474612E+01, 2.268540754E+01
 6,   -3850501, 1073741824, 4.482482910E+00, 1.439037640E+01, 2.261468420E+01
 7,   -3847649, 1073741824, 4.482482910E+00, 1.434227085E+01, 2.194480537E+01
 8,   -3845985, 1073741824, 4.482482910E+00, 1.453646261E+01, 2.201672450E+01
 9,   -3848539, 1073741824, 4.482482910E+00, 1.446666872E+01, 2.257971474E+01
10,   -3847563, 1073741824, 4.482482910E+00, 1.456618743E+01, 2.313467318E+01
11,   -3847613, 1073741824, 4.482482910E+00, 1.416439544E+01, 2.182101398E+01
12,   -3846760, 1073741824, 4.482482910E+00, 1.445976367E+01, 2.190454788E+01
13,   -3846654, 1073741824, 4.482482910E+00, 1.412557723E+01, 2.189616498E+01
14,   -3850105, 1073741824, 4.482482910E+00, 1.458258067E+01, 2.199125376E+01
15,   -3847080, 1073741824, 4.482482910E+00, 1.473324034E+01, 2.266206724E+01
16,   -3849041, 1073741824, 4.482482910E+00, 1.437180112E+01, 2.227896911E+01
17,   -3846655, 1073741824, 4.482482910E+00, 1.433981756E+01, 2.290349753E+01
18,   -3848680, 1073741824, 4.482482910E+00, 1.466977355E+01, 2.217972132E+01
19,   -3845906, 1073741824, 4.482482910E+00, 1.460564949E+01, 2.231804113E+01
20,   -3847653, 1073741824, 4.482482910E+00, 1.456330603E+01, 2.273900359E+01
21,   -3851099, 1073741824, 4.482482910E+00, 1.423182309E+01, 2.232154914E+01
22,   -3843593, 1073741824, 4.482482910E+00, 1.420144080E+01, 2.189852666E+01
23,   -3847223, 1073741824, 4.482482910E+00, 1.440205590E+01, 2.255852792E+01
24,   -3848424, 1073741824, 4.482482910E+00, 1.448180275E+01, 2.293013877E+01
25,   -3848105, 1073741824, 4.482482910E+00, 1.472413688E+01, 2.276725677E+01
26,   -3847107, 1073741824, 4.482482910E+00, 1.397881859E+01, 2.196306680E+01
27,   -3853103, 1073741824, 4.482482910E+00, 1.433434021E+01, 2.239380290E+01
28,   -3850686, 1073741824, 4.482482910E+00, 1.447764680E+01, 2.234856187E+01
29,   -3851086, 1073741824, 4.482482910E+00, 1.438868553E+01, 2.258824643E+01
30,   -3850023, 1073741824, 4.482482910E+00, 1.435783914E+01, 2.223978620E+01
31,   -3846842, 1073741824, 4.482482910E+00, 1.437813999E+01, 2.192349934E+01
