"EXP(TH(2φ))", "N", "AVG(ρ(TH))/ε", "MAX(ρ(TH))/ε", "AVG(ρ(CH))/ε", "MAX(ρ(CH))/ε", "AVG(ρ(SH))/ε", "MAX(ρ(SH))/ε", "AVG(ρ(th))/ε", "MAX(ρ(th))/ε", "AVG(ρ(ch))/ε", "MAX(ρ(ch))/ε", "AVG(ρ(sh))/ε", "MAX(ρ(sh))/ε"
-25,    8388608, 8.692343364E-09, 1.490115942E-08, 4.346171682E-09, 7.450579709E-09, 1.303851505E-08, 2.235173913E-08, 8.692343364E-09, 1.490115942E-08, 4.346171682E-09, 7.450579709E-09, 1.303851505E-08, 2.235173913E-08
-24,    8388608, 3.476937345E-08, 5.960463767E-08, 1.738468673E-08, 2.980231883E-08, 5.215406018E-08, 8.940695650E-08, 3.476937345E-08, 5.960463767E-08, 1.999999744E+00, 1.999999993E+00, 1.961658176E+00, 2.666666616E+00
-23,    8388608, 1.390774938E-07, 2.384185507E-07, 6.953874691E-08, 1.192092753E-07, 2.086162407E-07, 3.576278260E-07, 1.390774938E-07, 2.384185507E-07, 3.079573189E-07, 1.999999970E+00, 4.470347985E-07, 1.999999911E+00
-22,    8388608, 5.563099753E-07, 9.536742027E-07, 2.781549876E-07, 4.768371014E-07, 8.344649629E-07, 1.430511304E-06, 5.563099753E-07, 9.536742027E-07, 4.999999267E-01, 1.999999814E+00, 3.646434342E-01, 1.599999289E+00
-21,    8388608, 2.225239901E-06, 3.814696811E-06, 1.112619951E-06, 1.907348405E-06, 3.337859852E-06, 5.722045216E-06, 2.225239901E-06, 3.814696811E-06, 5.000003663E-01, 1.999999397E+00, 5.071544406E-01, 2.461534504E+00
-20,    8388608, 8.900959604E-06, 1.525878724E-05, 4.450479802E-06, 7.629393622E-06, 1.335143941E-05, 2.288818087E-05, 8.900959604E-06, 1.525878724E-05, 5.000018415E-01, 1.999997847E+00, 4.998524251E-01, 2.559985835E+00
-19,    8388608, 3.560383842E-05, 6.103514897E-05, 1.780191921E-05, 3.051757449E-05, 5.340575763E-05, 9.155272346E-05, 3.560383842E-05, 6.103514897E-05, 5.000081298E-01, 1.999991886E+00, 4.954100877E-01, 2.612191028E+00
-18,    8388608, 1.424153537E-04, 2.441405959E-04, 7.120767684E-05, 1.220702980E-04, 2.136230305E-04, 3.662108939E-04, 1.424153537E-04, 2.441405959E-04, 5.000340580E-01, 1.999968521E+00, 4.930660712E-01, 2.638964743E+00
-17,    8388608, 5.696614147E-04, 9.765623836E-04, 2.848307074E-04, 4.882811919E-04, 8.544921221E-04, 1.464843575E-03, 5.696614147E-04, 9.765623836E-04, 5.001393207E-01, 1.999876015E+00, 4.921278404E-01, 2.652016951E+00
-16,    8388608, 2.278645659E-03, 3.906249535E-03, 1.139322830E-03, 1.953124768E-03, 3.417968489E-03, 5.859374303E-03, 2.278645659E-03, 3.906249535E-03, 5.005634749E-01, 1.999507896E+00, 4.927678970E-01, 2.656426961E+00
-15,    8388608, 9.114582640E-03, 1.562499815E-02, 4.557291324E-03, 7.812499085E-03, 1.367187396E-02, 2.343749723E-02, 9.114582640E-03, 1.562499815E-02, 5.022663210E-01, 1.998039237E+00, 4.975690374E-01, 2.649980796E+00
