"EXP(TH(2φ))", "N", "AVG(ρ(TH))/ε", "MAX(ρ(TH))/ε", "AVG(ρ(CH))/ε", "MAX(ρ(CH))/ε", "AVG(ρ(SH))/ε", "MAX(ρ(SH))/ε", "AVG(ρ(th))/ε", "MAX(ρ(th))/ε", "AVG(ρ(ch))/ε", "MAX(ρ(ch))/ε", "AVG(ρ(sh))/ε", "MAX(ρ(sh))/ε"
-11,    8388608, 4.887637247E-01, 1.400481251E+00, 6.628822987E-01, 1.249999851E+00, 7.859418112E-01, 2.100721171E+00, 4.730286145E-01, 1.508553389E+00, 8.551872277E-01, 2.249275107E+00, 1.076656857E+00, 3.298417192E+00
-10,    8388608, 4.925829555E-01, 1.468342407E+00, 5.295389700E-01, 1.249999436E+00, 8.255912701E-01, 2.621029838E+00, 5.053772663E-01, 1.666070614E+00, 8.470252332E-01, 2.249757061E+00, 1.127488374E+00, 3.832406054E+00
 -9,    8388608, 4.597181739E-01, 1.502359231E+00, 5.312408283E-01, 1.249990685E+00, 6.859509268E-01, 2.325789057E+00, 4.763526766E-01, 1.884112362E+00, 8.386896971E-01, 2.249638375E+00, 1.043541945E+00, 4.141680262E+00
 -8,    8388608, 4.647500777E-01, 1.716624565E+00, 5.311189550E-01, 1.249897970E+00, 7.534754714E-01, 2.992517730E+00, 4.854122534E-01, 1.993971675E+00, 8.357927945E-01, 2.249743526E+00, 1.073062872E+00, 4.096258504E+00
 -7,    8388608, 4.608320960E-01, 1.818473802E+00, 5.289771079E-01, 1.248477132E+00, 7.432184702E-01, 3.148818504E+00, 4.792966423E-01, 1.961824053E+00, 8.291662037E-01, 2.248375914E+00, 1.043965978E+00, 4.110692757E+00
 -6,    8388608, 4.571274535E-01, 1.748929699E+00, 5.105876708E-01, 1.226413265E+00, 7.671795724E-01, 3.205540236E+00, 4.761739013E-01, 2.016442635E+00, 7.461901882E-01, 2.223921596E+00, 9.170196403E-01, 4.229256325E+00
 -5,    8388608, 4.596301631E-01, 1.812628557E+00, 5.109091689E-01, 1.249763412E+00, 7.353399997E-01, 3.118952562E+00, 4.782183143E-01, 2.079811800E+00, 6.377911592E-01, 2.243946584E+00, 8.527250400E-01, 4.260862641E+00
 -4,    8388608, 4.595494477E-01, 1.852541900E+00, 5.098774095E-01, 1.250586037E+00, 7.402506787E-01, 3.630417233E+00, 4.761089741E-01, 2.092495534E+00, 6.404283340E-01, 2.234495393E+00, 8.542773890E-01, 4.540118503E+00
 -3,    8388608, 4.636993149E-01, 1.859587251E+00, 5.083514344E-01, 1.260268870E+00, 7.463143300E-01, 3.719517429E+00, 4.766835768E-01, 2.082520636E+00, 5.987263927E-01, 2.230884379E+00, 8.268987200E-01, 4.625853949E+00
 -2,    8388608, 4.797641527E-01, 1.917559560E+00, 5.018348032E-01, 1.350663425E+00, 7.684005281E-01, 4.017119018E+00, 4.884595754E-01, 2.052039339E+00, 5.851886132E-01, 2.253331950E+00, 8.383316854E-01, 4.715705879E+00
 -1,    7979408, 5.123343076E-01, 2.038963536E+00, 5.148803578E-01, 3.408949863E+00, 8.980606621E-01, 5.578757147E+00, 5.163620994E-01, 2.128408071E+00, 6.045328296E-01, 4.343377374E+00, 9.593763987E-01, 6.285611843E+00
