"RUN", "THge08", "N", "REDET_ε", "RECH_ε", "RESHR_ε", "RESHI_ε"
 1,   -8510913, 1073741824, 1.130402657533753672644E+0001, 2.106190949170990447895E+0001, 3.154224170600124990019E+0001, 3.140413893445339745479E+0001
 2,   -8517683, 1073741824, 1.152236137390326662499E+0001, 2.168008327673198941366E+0001, 3.298039823023274193382E+0001, 3.310699592992593616598E+0001
 3,   -8512278, 1073741824, 1.115493175729986087530E+0001, 2.128658557899438124434E+0001, 3.127403128865730316890E+0001, 3.246567598173504423885E+0001
 4,   -8517475, 1073741824, 1.079587223566471703981E+0001, 2.069009597760211276897E+0001, 3.061067767638168107443E+0001, 3.172113044778836473346E+0001
 5,   -8512224, 1073741824, 1.095709322784753985386E+0001, 2.133876978726797415221E+0001, 3.091159268554245767307E+0001, 3.134682506382777453246E+0001
 6,   -8514257, 1073741824, 1.166631655350842097620E+0001, 2.095602344006891028882E+0001, 3.120943963088254475436E+0001, 3.197714141570701853259E+0001
 7,   -8516725, 1073741824, 1.082662485098836084699E+0001, 2.181810687359933507635E+0001, 3.147463140074058741302E+0001, 3.188028134404211533718E+0001
 8,   -8518570, 1073741824, 1.108999886662771576202E+0001, 2.141218140268702295367E+0001, 3.242692262272652976492E+0001, 3.217907835876462794288E+0001
 9,   -8519965, 1073741824, 1.169148913785001189684E+0001, 2.146944347463181177892E+0001, 3.263624712075916067057E+0001, 3.231396902095659214808E+0001
10,   -8513589, 1073741824, 1.103298717657141326596E+0001, 2.105255477898538404515E+0001, 3.231670957454572009634E+0001, 3.217147828599139388836E+0001
11,   -8511815, 1073741824, 1.127190909829369301021E+0001, 2.124702566741534985333E+0001, 3.304783808222989189486E+0001, 3.208367048251502952596E+0001
12,   -8517925, 1073741824, 1.133388001863963028679E+0001, 2.193896834948689761872E+0001, 3.194424177272859638746E+0001, 3.280280077527851089577E+0001
13,   -8510794, 1073741824, 1.078306365406121155877E+0001, 2.131081894495257932481E+0001, 3.312986581686000185880E+0001, 3.160967849207028698988E+0001
14,   -8516078, 1073741824, 1.109956121226814649525E+0001, 2.148396903615044271552E+0001, 3.240860311199323106505E+0001, 3.163217273468087244524E+0001
15,   -8512612, 1073741824, 1.129217551466536889292E+0001, 2.105474202152397337412E+0001, 3.185570190043890216926E+0001, 3.225979024714736663663E+0001
16,   -8517159, 1073741824, 1.140445894650594225814E+0001, 2.134111382231749666192E+0001, 3.112696722223759853024E+0001, 3.130062858249976088334E+0001
17,   -8521742, 1073741824, 1.102339248555476448282E+0001, 2.090592068329266383792E+0001, 3.142005916773597104745E+0001, 3.173095112635502763915E+0001
18,   -8518685, 1073741824, 1.083809299688662587969E+0001, 2.137075323241762707585E+0001, 3.201832885845896996106E+0001, 3.277497627845512905734E+0001
19,   -8510894, 1073741824, 1.118238537210256083204E+0001, 2.096036499174253079381E+0001, 3.105458567787273696629E+0001, 3.186445703594872504227E+0001
20,   -8518150, 1073741824, 1.119486356869123844898E+0001, 2.147931630746094850047E+0001, 3.215462676168659912267E+0001, 3.205398227482671883792E+0001
21,   -8509865, 1073741824, 1.105592422340487950032E+0001, 2.109964409842092979538E+0001, 3.132787825681951705009E+0001, 3.277370962185938647592E+0001
22,   -8509770, 1073741824, 1.088144495410917671637E+0001, 2.106502173367506909512E+0001, 3.137469681819979431934E+0001, 3.105877547635071031671E+0001
23,   -8513400, 1073741824, 1.086540740482390414262E+0001, 2.079855570904972424647E+0001, 3.208328240752526658070E+0001, 3.155084386752363676297E+0001
24,   -8514807, 1073741824, 1.109661623941300488363E+0001, 2.078880813109746119044E+0001, 3.180640998249823787057E+0001, 3.167684757204478472560E+0001
25,   -8516758, 1073741824, 1.120302077693345695382E+0001, 2.073085616607457939610E+0001, 3.281445692220214196112E+0001, 3.250349934324495151338E+0001
26,   -8513997, 1073741824, 1.097528297795987980282E+0001, 2.065370917781563777274E+0001, 3.190177014435626813863E+0001, 3.158886242459816909507E+0001
27,   -8516289, 1073741824, 1.147767135805597311299E+0001, 2.135286406964855232688E+0001, 3.257037610697586138150E+0001, 3.163949715369167821785E+0001
28,   -8517912, 1073741824, 1.085374353478050768791E+0001, 2.203303368654107065941E+0001, 3.347148154649559504054E+0001, 3.162411921958980147909E+0001
29,   -8517509, 1073741824, 1.089226928590738988233E+0001, 2.124941966370914520886E+0001, 3.216860830343510725666E+0001, 3.131184191490663795825E+0001
30,   -8521254, 1073741824, 1.063799208373160921312E+0001, 2.170807533345101261853E+0001, 3.260072405485956247911E+0001, 3.178139507818228438765E+0001
31,   -8515525, 1073741824, 1.110048678999268174595E+0001, 2.193827222172489346934E+0001, 3.372330898366378031158E+0001, 3.418005503611247970626E+0001
