"RUN", "THge08", "N", "REDET_ε", "RECH_ε", "RESHR_ε", "RESHI_ε"
 1,   -8519574, 1073741824, 1.087879487385007493520E+0001, 2.167825108342311427344E+0001, 3.150430490177442218228E+0001, 3.278307083851223603698E+0001
 2,   -8514930, 1073741824, 1.092653147894418746107E+0001, 2.087637237089071851633E+0001, 3.107901897851301326407E+0001, 3.119370949732467180892E+0001
 3,   -8514494, 1073741824, 1.177186754740218960900E+0001, 2.099713150172476845697E+0001, 3.117544841681903723686E+0001, 3.122565825761546635981E+0001
 4,   -8517184, 1073741824, 1.110820566591702983155E+0001, 2.132642584153104847519E+0001, 3.164411727990644447776E+0001, 3.395674218952695442060E+0001
 5,   -8513394, 1073741824, 1.083279996434885360384E+0001, 2.147537494843256393464E+0001, 3.148802254026401193359E+0001, 3.172947308331381080197E+0001
 6,   -8515528, 1073741824, 1.118249319486342306176E+0001, 2.063716256571065024520E+0001, 3.146157385335733822447E+0001, 3.144883690568363347548E+0001
 7,   -8516061, 1073741824, 1.090524402217787120319E+0001, 2.131406841729144837798E+0001, 3.248607288372386128032E+0001, 3.345682274438329353372E+0001
 8,   -8518771, 1073741824, 1.110987354771512650415E+0001, 2.075874879747533601589E+0001, 3.273166797319850231996E+0001, 3.161689182276567819076E+0001
 9,   -8513673, 1073741824, 1.107408114843151724746E+0001, 2.138831860480853736672E+0001, 3.249580579244735234863E+0001, 3.209216417234785510005E+0001
10,   -8514157, 1073741824, 1.090970674198359624116E+0001, 2.122630189109887928049E+0001, 3.236486054472052228779E+0001, 3.090364041629483545031E+0001
11,   -8511387, 1073741824, 1.094364483294206074578E+0001, 2.088556230425745542552E+0001, 3.143272287799900307277E+0001, 3.176299734497919135158E+0001
12,   -8515051, 1073741824, 1.084322629299461337910E+0001, 2.117640387725415127168E+0001, 3.188493330882381832647E+0001, 3.130035847053139686915E+0001
13,   -8519425, 1073741824, 1.088154322320034349065E+0001, 2.077999204247585170503E+0001, 3.144696417643169668790E+0001, 3.123118643354690422765E+0001
14,   -8513460, 1073741824, 1.157143113383407116749E+0001, 2.095994756769947853503E+0001, 3.289903706654986125390E+0001, 3.262371439763327527011E+0001
15,   -8514896, 1073741824, 1.113719256822468330023E+0001, 2.180470930411983785561E+0001, 3.293603656884573288431E+0001, 3.263413653961570656504E+0001
16,   -8511504, 1073741824, 1.138491685227325709391E+0001, 2.094698189389625209782E+0001, 3.250027180653469342321E+0001, 3.275276341274051462348E+0001
17,   -8515261, 1073741824, 1.078109281216516104061E+0001, 2.046357487567864287267E+0001, 3.076056586563943278434E+0001, 3.087835184940913743879E+0001
18,   -8510169, 1073741824, 1.085202765384742630852E+0001, 2.127341535451027221023E+0001, 3.152872980227723438037E+0001, 3.220837526166650482594E+0001
19,   -8515212, 1073741824, 1.121697377336187719642E+0001, 2.114040475242928348138E+0001, 3.230610645214871519115E+0001, 3.200929628974795373202E+0001
20,   -8513259, 1073741824, 1.078532365776125821762E+0001, 2.150347041691696226638E+0001, 3.184990868771593048996E+0001, 3.118263930818780443082E+0001
21,   -8512733, 1073741824, 1.107661417826572288070E+0001, 2.125896158200720612022E+0001, 3.247257500766114378336E+0001, 3.225601485615978380782E+0001
22,   -8511557, 1073741824, 1.084908475352721261501E+0001, 2.127549743683845880403E+0001, 3.185163463630519159846E+0001, 3.180103015095532310544E+0001
23,   -8514463, 1073741824, 1.090729993776779850187E+0001, 2.193939315425302285061E+0001, 3.296234011859999199169E+0001, 3.240295062884668936335E+0001
24,   -8515489, 1073741824, 1.072992883827513847339E+0001, 2.152705224992932854966E+0001, 3.153107025958842154980E+0001, 3.211794100619688479694E+0001
25,   -8518624, 1073741824, 1.090257869582731551976E+0001, 2.140042841017796446284E+0001, 3.157943503477620049850E+0001, 3.211691999329950366745E+0001
26,   -8517846, 1073741824, 1.084380916598673791453E+0001, 2.113612690931756567233E+0001, 3.223525725111255410348E+0001, 3.312159759801970471486E+0001
27,   -8520845, 1073741824, 1.117587893958462792535E+0001, 2.101816170038449149144E+0001, 3.144263446933093664907E+0001, 3.146056901539998934628E+0001
28,   -8517126, 1073741824, 1.088137998519263921666E+0001, 2.134844659015396601494E+0001, 3.336998783124271956673E+0001, 3.161160884095793579775E+0001
29,   -8517138, 1073741824, 1.120072907351552423156E+0001, 2.208673929719769064253E+0001, 3.159603272203125777082E+0001, 3.079463524089553178689E+0001
30,   -8513260, 1073741824, 1.118203604708345941567E+0001, 2.133879361348897224972E+0001, 3.235531386955387624050E+0001, 3.200250252299592643358E+0001
31,   -8516737, 1073741824, 1.133065973646498249699E+0001, 2.075553001473544051538E+0001, 3.098263051594074066683E+0001, 3.144947972953947634684E+0001
