"RUN", "THge08", "N", "REDET_ε", "RECH_ε", "RESH_ε"
 1,   -3846070, 1073741824, 4.490686929239172323485E+0000, 1.414003966909917100769E+0001, 2.269927229749980974288E+0001
 2,   -3851909, 1073741824, 4.477719279945212799764E+0000, 1.476865059814637008245E+0001, 2.284333588497291142974E+0001
 3,   -3850171, 1073741824, 4.477018132986016772227E+0000, 1.478405506533227720071E+0001, 2.212449272539186461045E+0001
 4,   -3847819, 1073741824, 4.492140563893655107713E+0000, 1.469663684266896126560E+0001, 2.268681414659325428423E+0001
 5,   -3847783, 1073741824, 4.491587319342725035651E+0000, 1.434674546500775264229E+0001, 2.277434940594058962081E+0001
 6,   -3846789, 1073741824, 4.507767765012246688518E+0000, 1.447322330895485594620E+0001, 2.213166489687180353276E+0001
 7,   -3846180, 1073741824, 4.505262965585297129452E+0000, 1.439423135829946482516E+0001, 2.243739432736032206786E+0001
 8,   -3850495, 1073741824, 4.486461435814893565639E+0000, 1.431994731694495208285E+0001, 2.180164963614026862729E+0001
 9,   -3846639, 1073741824, 4.469646763676954904696E+0000, 1.432889280265988591785E+0001, 2.221073164362001209873E+0001
10,   -3848879, 1073741824, 4.492670373983451702895E+0000, 1.433370330066446619991E+0001, 2.288932492954505217267E+0001
11,   -3845899, 1073741824, 4.483602108308156791734E+0000, 1.462925970651576836045E+0001, 2.221049242165348257885E+0001
12,   -3850114, 1073741824, 4.492712130875238157599E+0000, 1.461715013261204933691E+0001, 2.295982010468383521680E+0001
13,   -3848926, 1073741824, 4.481622131446738052651E+0000, 1.436325432753474050614E+0001, 2.286383333448427458687E+0001
14,   -3847540, 1073741824, 4.466973840007864126986E+0000, 1.447022870411281530714E+0001, 2.266709886120337668382E+0001
15,   -3852249, 1073741824, 4.510862666785780309324E+0000, 1.460724085804323486122E+0001, 2.335900947078958059555E+0001
16,   -3845551, 1073741824, 4.510973413474753940045E+0000, 1.434354679412991813883E+0001, 2.172692994004291096385E+0001
17,   -3850443, 1073741824, 4.466352869925548717394E+0000, 1.427170691449182486177E+0001, 2.174935407352206650028E+0001
18,   -3847253, 1073741824, 4.503462479005450849414E+0000, 1.440057382065776479689E+0001, 2.246474152401972256464E+0001
19,   -3848538, 1073741824, 4.508481701682789112038E+0000, 1.409641715193628877960E+0001, 2.185782992294430339594E+0001
20,   -3848194, 1073741824, 4.483436543163288628478E+0000, 1.424667827052246547218E+0001, 2.205596128548740933425E+0001
21,   -3848564, 1073741824, 4.492024487639493786794E+0000, 1.443885775166974287452E+0001, 2.271621672023727428340E+0001
22,   -3849913, 1073741824, 4.482824899510234747445E+0000, 1.460826441434810439469E+0001, 2.197972366216238542516E+0001
23,   -3844161, 1073741824, 4.504838986805163468138E+0000, 1.463481295979620939581E+0001, 2.210209760472430502519E+0001
24,   -3849333, 1073741824, 4.512860319872292573471E+0000, 1.470705495313429034844E+0001, 2.164498624962860052497E+0001
25,   -3850119, 1073741824, 4.468955799356076606540E+0000, 1.481284146864494652382E+0001, 2.194332913296927963438E+0001
26,   -3848391, 1073741824, 4.476839199025310692071E+0000, 1.461978127712453783263E+0001, 2.264185642109495529111E+0001
27,   -3848797, 1073741824, 4.500796935033982195234E+0000, 1.445878322840711760758E+0001, 2.217872434252535139363E+0001
28,   -3847175, 1073741824, 4.488319199269667656197E+0000, 1.433720714118599157158E+0001, 2.228781124563531964930E+0001
29,   -3845380, 1073741824, 4.494936100165390044764E+0000, 1.441715059619340644791E+0001, 2.185494984206257495328E+0001
30,   -3848180, 1073741824, 4.487200861909024836261E+0000, 1.483100952232400894883E+0001, 2.302852233323879853796E+0001
31,   -3846937, 1073741824, 4.478162940596992512396E+0000, 1.437040191092272080742E+0001, 2.192013962007122745544E+0001
