"EXP(TH(2φ))", "N", "AVG(ρ(TH))/ε", "MAX(ρ(TH))/ε", "AVG(ρ(CH))/ε", "MAX(ρ(CH))/ε", "AVG(ρ(SH))/ε", "MAX(ρ(SH))/ε", "AVG(ρ(th))/ε", "MAX(ρ(th))/ε", "AVG(ρ(ch))/ε", "MAX(ρ(ch))/ε", "AVG(ρ(sh))/ε", "MAX(ρ(sh))/ε"
-33, 1073741824, 1.458342783294309832639E-0001, 2.499999996928538045303E-0001, 7.291713916471671293187E-0002, 1.249999998464268458056E-0001, 2.187514174941476961913E-0001, 3.749999995392807067929E-0001, 1.458342783294309832639E-0001, 2.499999996928538045303E-0001, 5.364371360318157003015E-0001, 1.968749999969375608085E+0000, 5.997688528793016339966E-0001, 2.455729161704317202454E+0000
-32, 1073741824, 3.788111038689793921583E-0001, 6.399110638233180768191E-0001, 2.916710060983662813390E-0001, 4.999999995652188999748E-0001, 4.592694147817393300757E-0001, 9.374999999434590972120E-0001, 4.757571754891606550135E-0001, 1.263089931212789600262E+0000, 1.016160470080515131732E+0000, 1.874999999903099734398E+0000, 1.132194622599097850537E+0000, 3.156249999183744230897E+0000
-31, 1073741824, 4.887479347750105335109E-0001, 1.400483395365294319237E+0000, 6.628931198713466537646E-0001, 1.249999997558646214151E+0000, 7.859422760506883092318E-0001, 2.100725093047941478678E+0000, 4.729625831123716827310E-0001, 1.508928543869162720572E+0000, 8.552961995774089202950E-0001, 2.249999992952886884509E+0000, 1.076659456453184138014E+0000, 3.302359702836404420078E+0000
-30, 1073741824, 4.925798396513230377304E-0001, 1.468355365869377685136E+0000, 5.295584027281455958551E-0001, 1.249999999976100894761E+0000, 8.255709368193112529125E-0001, 2.621027797485167363999E+0000, 5.054797048836562190266E-0001, 1.666666601280062495210E+0000, 8.468927790371566248451E-0001, 2.249999988442148434596E+0000, 1.126840644065305599535E+0000, 3.833333118549722643971E+0000
-29, 1073741824, 4.597315057908748007951E-0001, 1.502416978382062289626E+0000, 5.312511715365679269745E-0001, 1.249999999200607447118E+0000, 6.859410766141766343308E-0001, 2.325723705806025059954E+0000, 4.765158780309019108886E-0001, 1.887505919904759450633E+0000, 8.389663700695930500268E-0001, 2.249999995995999312003E+0000, 1.040393703551173532961E+0000, 4.141656202223732496728E+0000
-28, 1073741824, 4.650652547029597885854E-0001, 1.717284280230994870433E+0000, 5.312754332565717683817E-0001, 1.249999999743813809659E+0000, 7.536382850877020200240E-0001, 2.992362296770167487894E+0000, 4.859689933670935906092E-0001, 1.995875380555950261430E+0000, 8.367320553908327855134E-0001, 2.249999979791422065657E+0000, 1.047513589568112230828E+0000, 4.103618742212809440800E+0000
-27, 1073741824, 4.646862482266070732384E-0001, 1.827450575670999952786E+0000, 5.312770522020478753195E-0001, 1.249999999944460397464E+0000, 7.442043193420012271575E-0001, 3.146110762619353087310E+0000, 4.833753027084934476758E-0001, 1.978502585187445096806E+0000, 8.361356529770835033310E-0001, 2.249999996156681406261E+0000, 1.043880146205229850862E+0000, 4.133670756827209651938E+0000
-26, 1073741824, 4.655805423093983537769E-0001, 1.812848896912963324001E+0000, 5.312461682472572763664E-0001, 1.249999997631100140094E+0000, 7.446269754402449200808E-0001, 3.104820560069414943148E+0000, 4.855248102155121427219E-0001, 2.065523320911963253324E+0000, 8.359461419051650455052E-0001, 2.249999970366740473756E+0000, 1.041487498544984771044E+0000, 4.199379012609338905529E+0000
-25, 1073741824, 4.670140294505062667450E-0001, 1.860621946120468612944E+0000, 5.312447491925719335836E-0001, 1.249999999110592030963E+0000, 7.473466246823148119095E-0001, 3.211869716174746659104E+0000, 4.869914807959811492461E-0001, 2.094384548209789763066E+0000, 8.359371734079866383185E-0001, 2.249999989386867357207E+0000, 1.049447947064405684683E+0000, 4.286491151937376413274E+0000
-24, 1073741824, 4.653879048382560128146E-0001, 1.862731089498604582474E+0000, 5.312489862378741023762E-0001, 1.249999997067595327512E+0000, 7.470890329562902208448E-0001, 3.217740780239653670749E+0000, 4.857633771876284071303E-0001, 2.114984285864616703382E+0000, 8.359489148803698160439E-0001, 2.249999982950039150069E+0000, 1.047322700579918272793E+0000, 4.326782324949853861974E+0000
-23, 1073741824, 4.655449313755779067191E-0001, 1.869359393808142573549E+0000, 5.312439982759226026663E-0001, 1.249999998223593379108E+0000, 7.495705610463774578408E-0001, 3.228534832655026123605E+0000, 4.858708346930118186016E-0001, 2.122274879388797323818E+0000, 8.359396317972338748617E-0001, 2.249999983765419622737E+0000, 1.050758469062290900124E+0000, 4.343990554862421782852E+0000
-22, 1073741824, 4.652368264235282934872E-0001, 1.871539616909845780325E+0000, 5.312304856770261103093E-0001, 1.249999996876614697276E+0000, 7.486741551369109802947E-0001, 3.240681577442988908985E+0000, 4.855106823534798244663E-0001, 2.119057822831489100587E+0000, 8.359192241727540734416E-0001, 2.249999950278275513529E+0000, 1.057003859095418778362E+0000, 4.410673466195981877643E+0000
-21, 1073741824, 4.654271610344473425086E-0001, 1.870960820661652901750E+0000, 5.312487504867374119041E-0001, 1.249999956373189613018E+0000, 7.488894028365427372126E-0001, 3.246878559064617274664E+0000, 4.856916666793814053617E-0001, 2.120016366877043736842E+0000, 8.359497015918316693358E-0001, 2.249999834226653591266E+0000, 1.072538047301217037077E+0000, 4.411664026432424890227E+0000
-20, 1073741824, 4.653288393047395259214E-0001, 1.871659446197681678058E+0000, 5.312503940208937728804E-0001, 1.249999607321731419732E+0000, 7.485851857760304547341E-0001, 3.239609748176558380756E+0000, 4.856352677070912952006E-0001, 2.118241976869770001685E+0000, 8.359482829630395957355E-0001, 2.249999367191350444831E+0000, 1.069385064662310768385E+0000, 4.384581616623523142868E+0000
