"N", "J", "SWEEPS", "TRANSFS", "GS", "TIMEs", "MAXREΛ", "||G-UΣV^-1||_F/||G||_F", "||U^HU-I||_F", "||V^HJV-J||_F", "max||GVj-UjΣj||_F"
   1,    0,          1,           0,  1022,       0.000355, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000
   2,    1,          2,           1,  1019,       0.000493, 4.44089209850062616E-016, 2.03893448881025695E-016, 1.29974216388790856E-016, 1.53325362023517206E-016, 1.52345607191370006E-016
   4,    2,          5,          19,  1019,       0.000780, 8.88178419700125430E-016, 4.05012140539967556E-016, 3.20609061414450006E-016, 1.41743987085792315E-015, 8.68852507860432076E-016
   8,    4,          6,         122,  1018,       0.001588, 2.15397860023612165E-015, 9.26729617111207382E-016, 1.08735146534833390E-015, 3.91416421356776121E-015, 1.61942765836647555E-015
  16,    8,          8,         608,  1017,       0.006774, 2.66453525910037727E-015, 1.67292863886521037E-015, 1.90508731355900716E-015, 1.14759319392790292E-014, 4.03108883642715272E-015
  32,   16,          8,        2855,  1016,       0.038017, 5.69529872627676300E-015, 2.60776252706345220E-015, 3.63646597245291293E-015, 3.55647642913328729E-014, 1.20626621820993875E-014
  64,   32,          9,       12935,  1014,       0.266607, 6.76189800844458565E-015, 3.70048220890409641E-015, 1.46139596086073818E-014, 1.17612181449785083E-013, 2.77567299230153310E-014
 128,   64,         10,       57244,  1013,       2.014080, 1.42218451166439402E-014, 8.61915386777613616E-015, 2.72154340953841175E-014, 4.63664717318420125E-013, 9.26625884595587024E-014
 256,  128,         12,      256001,  1012,      16.730944, 2.14183492217985926E-014, 1.15663248624413246E-014, 6.79469786864276621E-014, 1.42049841887584591E-012, 2.40907087363288123E-013
 512,  256,         14,     1088638,  1011,     137.288314, 4.58034397455098151E-014, 2.30942716805578226E-014, 2.58901681118309553E-013, 5.53162338066141732E-012, 5.89903508764565797E-013
1024,  512,         14,     4713484,  1010,    1143.110007, 1.06684985906084132E-013, 6.22760215658473564E-014, 5.85902696833098535E-013, 1.93348348964699279E-011, 1.51668755141016268E-012
2048, 1024,         15,    19645455,  1009,    9408.309734, 1.51104393053603003E-013, 8.38017864673603787E-014, 2.09892327054925453E-012, 6.98153303169900249E-011, 4.97651218379959240E-012
4096, 2048,         18,    83004239,  1007,   79888.770706, 3.74876090482569918E-013, 2.43526556137537873E-013, 7.45493254825213332E-012, 4.60276994341106792E-010, 1.30453102079392407E-011
