"N", "J", "GS", "SWEEPS", "TIMEs", "MAXREΛ", "||G-UΣV^-1||_F/||G||_F"
  1,   0,  1022,          1,    0.000118, 0.00000000000000000E+000, 0.00000000000000000E+000
  2,   1,  1020,          3,    0.000138, 4.44089209850062665E-016, 2.03904929523156435E-016
  4,   2,  1020,          5,    0.000197, 7.08821054248667916E-016, 3.03092952929619707E-016
  8,   4,  1019,          6,    0.000363, 1.47562112708577532E-015, 8.11426716682870289E-016
 16,   8,  1018,          7,    0.001668, 2.40061295373759640E-015, 1.35143123399686947E-015
 32,  16,  1017,          8,    0.012170, 3.92814219418675205E-015, 2.32314470943641719E-015
 64,  32,  1015,          9,    0.091278, 6.05237856901445625E-015, 3.54964298358722644E-015
128,  64,  1014,         11,    0.805724, 1.48821389109439610E-014, 8.51573834737252398E-015
256, 128,  1013,         12,    7.054695, 2.05744139007565841E-014, 1.06307935457147814E-014
512, 256,  1012,         13,   62.667618, 5.01962847190662161E-014, 2.98435503134577040E-014
