"N", "J", "SWEEPS", "TRANSFS", "GS", "TIMEs", "MAXREΛ", "||G-UΣV^-1||_F/||G||_F", "||U^HU-I||_F", "||V^HJV-J||_F"
   1,    0,          1,           0,  1022,       0.000326, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000
   2,    1,          2,           1,  1019,       0.000437, 4.44089209850062616E-016, 2.03893448881025695E-016, 1.29974216388790856E-016, 1.53325362023517206E-016
   4,    2,          5,          19,  1019,       0.000777, 8.88178419700125430E-016, 4.05012140539967556E-016, 3.20609061414450006E-016, 1.41743987085792315E-015
   8,    4,          6,         122,  1018,       0.001596, 1.11022302462515615E-015, 7.54046749818989149E-016, 8.33248142173882358E-016, 4.33764755408646302E-015
  16,    8,          7,         636,  1017,       0.006667, 2.47334332185491596E-015, 1.75949965605176592E-015, 1.96688828673292409E-015, 1.15746556120779411E-014
  32,   16,          8,        2931,  1016,       0.038908, 4.76807969758156548E-015, 2.30470474960177009E-015, 4.00241352799978760E-015, 3.69766372739893502E-014
  64,   32,          9,       13851,  1014,       0.292144, 7.15886079688088933E-015, 3.73337380949345216E-015, 7.51091628691880245E-015, 1.26230242262507138E-013
 128,   64,         12,       63235,  1013,       2.248508, 1.99324823083888332E-014, 8.33383032390493003E-015, 3.17916979131175545E-014, 4.89581422306123802E-013
 256,  128,         12,      265865,  1012,      17.356004, 2.07266634108040260E-014, 1.11284146436881271E-014, 6.86273362239924409E-014, 1.44148993603720855E-012
 512,  256,         13,     1137576,  1011,     142.006484, 5.37556692739737084E-014, 2.75629381617882460E-014, 3.09091832906720281E-013, 5.60612998443782549E-012
1024,  512,         15,     4863885,  1010,    1183.413189, 9.48904303293150320E-014, 5.99512226622608283E-014, 5.89692897297591591E-013, 1.90625191118006331E-011
2048, 1024,         17,    20424402,  1009,    9925.022812, 1.71015010878471328E-013, 9.95013125098259181E-014, 2.53091523384483504E-012, 7.79549755322512092E-011
4096, 2048,         19,    86291767,  1008,   83094.450197, 4.30103838832993175E-013, 2.66983706969772854E-013, 4.97384060274297583E-012, 3.22567619105453643E-010
