"N", "J", "GS", "SWEEPS", "TIMEs", "MAXREL", "||G-UΣV^-1||_F/||G||_F"
  1,   0,  1022,          1,    0.000116, 0.00000000000000000E+000, 0.00000000000000000E+000
  2,   1,  1020,          3,    0.000215, 4.44089209850062665E-016, 2.03904929523156435E-016
  4,   2,  1020,          5,    0.000279, 4.44956557581470549E-016, 4.84950710792564995E-016
  8,   4,  1019,          6,    0.000554, 8.88178419700125430E-016, 8.50215758767198864E-016
 16,   8,  1018,          7,    0.001571, 2.37748330739123892E-015, 1.33035443627172054E-015
 32,  16,  1017,          8,    0.011054, 4.43160899986686612E-015, 2.70541991627272612E-015
 64,  32,  1015,          9,    0.094591, 1.02493438655786131E-014, 4.05153965348427150E-015
128,  64,  1014,         11,    0.811949, 1.26718734512432441E-014, 7.04289290603538562E-015
256, 128,  1013,         12,    7.020214, 2.48082804863904991E-014, 1.36142110844378803E-014
512, 256,  1012,         13,   59.770320, 5.44263016783420477E-014, 2.65221519079107015E-014
