"N", "J", "SWEEPS", "TRANSFS", "GS", "TIMEs", "MAXREΛ", "max||GVj-UjΣj||_F", "||G-UΣV^-1||_F/||G||_F", "||U^HU-I||_F", "||V^HJV-J||_F"
   1,    0,          1,           0,  1022,       0.000310, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000
   2,    1,          2,           1,  1019,       0.000411, 0.00000000000000000E+000, 6.36112964212473803E-017, 8.24604472551759518E-017, 1.85854190280046694E-016, 1.53325362023517206E-016
   4,    2,          5,          19,  1019,       0.000712, 7.08821054248667926E-016, 5.28914540426013210E-016, 2.64913752309957111E-016, 3.79373549349921265E-016, 8.58402646618906486E-016
   8,    4,          6,         122,  1018,       0.001585, 1.80874039728933648E-015, 1.27123654784986628E-015, 9.03872426783918603E-016, 9.64355137722728214E-016, 3.59159499728426778E-015
  16,    8,          7,         636,  1017,       0.006031, 3.25122002906396447E-015, 4.17612426535279174E-015, 1.77855584329763719E-015, 1.74904788203114139E-015, 1.19376465882641164E-014
  32,   16,          8,        2931,  1016,       0.026911, 4.78251555350608704E-015, 1.05757032003064879E-014, 2.85713280385328875E-015, 3.84449663262233602E-015, 3.70308888774972902E-014
  64,   32,          9,       13851,  1015,       0.136488, 7.35193597729259313E-015, 3.44817327721641143E-014, 3.75988939144589660E-015, 6.53704645956370533E-015, 1.21089524359522892E-013
 128,   64,         11,       63228,  1013,       0.796543, 1.77544961251132560E-014, 8.72562720753222073E-014, 7.96939444831672692E-015, 3.16117980657272613E-014, 4.49479166257425059E-013
 256,  128,         11,      265854,  1012,       4.636669, 2.53969911501118147E-014, 2.30051130193758274E-013, 1.23104863922043196E-014, 6.79726081148180203E-014, 1.43832334951751297E-012
 512,  256,         13,     1143602,  1011,      32.879323, 6.60183659528912303E-014, 7.09842673136941835E-013, 2.77451122267521679E-014, 3.15872015982590117E-013, 5.65620035610528143E-012
1024,  512,         14,     4859552,  1010,     238.156319, 9.32205978281058951E-014, 1.90496541440597871E-012, 5.96488557659760516E-014, 5.93935850685453553E-013, 1.91242555682542704E-011
2048, 1024,         17,    20493319,  1009,    1981.742316, 1.85654567370657278E-013, 7.02497358260160540E-012, 9.61700712701120847E-014, 2.51704183965799729E-012, 7.86058604679876308E-011
4096, 2048,         17,    86174129,  1008,   15569.901370, 3.65803338713033231E-013, 1.67221617630317561E-011, 2.63607532907602813E-013, 4.89451718506227129E-012, 3.26857683040790948E-010
