"N", "J", "SWEEPS", "TRANSFS", "GS", "TIMEs", "MAXREΛ", "||G-UΣV^-1||_F/||G||_F"
   1,    0,          1,           0,  1022,       0.001041, 0.00000000000000000E+000, 0.00000000000000000E+000
   2,    1,          3,           2,  1020,       0.000833, 4.44089209850062665E-016, 2.43479627493028202E-016
   4,    2,          5,          19,  1020,       0.001601, 8.29549094858183223E-016, 4.90778136075984955E-016
   8,    4,          6,         118,  1019,       0.004461, 8.88178419700125035E-016, 9.04642040933750439E-016
  16,    8,          7,         595,  1018,       0.019620, 2.11114322709345573E-015, 1.22619762308994454E-015
  32,   16,          8,        2915,  1017,       0.141643, 5.01400696419851448E-015, 2.59870088262403989E-015
  64,   32,          9,       13122,  1015,       1.151399, 8.10308993036397175E-015, 3.88152724815631855E-015
 128,   64,         10,       57699,  1014,       9.754457, 1.36988021115188602E-014, 8.44325684304470424E-015
 256,  128,         12,      256730,  1013,      86.206851, 2.36685563318790185E-014, 1.29156361821788789E-014
 512,  256,         13,     1085613,  1012,     728.659500, 4.78762215362151859E-014, 2.17899626592904763E-014
1024,  512,         13,     4749828,  1010,    6281.714300, 1.00338384337592802E-013, 6.03278219732500319E-014
2048, 1024,         15,    19712639,  1010,   52568.820458, 1.78481496936716313E-013, 9.38186648092916124E-014
4096, 2048,         16,    84263141,  1008,  448624.061954, 4.00498126784680516E-013, 2.63095718968868680E-013
