"TRANSF", "SWEEP", "off(A)"
          0,  0, 8.13954085875972795E+002
          1,  1, 8.13953409310215839E+002
        256,  1, 8.13925134626396317E+002
        512,  1, 8.13906867234917868E+002
        768,  1, 8.13870565197845252E+002
       1024,  1, 8.13787948668919018E+002
       1280,  1, 8.13756214739675907E+002
       1536,  1, 8.13632837666235927E+002
       1792,  1, 8.10330307319180296E+002
       2048,  1, 7.96346961099229069E+002
       2304,  1, 7.96327884506172631E+002
       2560,  1, 7.96154113637974340E+002
       2816,  1, 7.90338445426397006E+002
       3072,  1, 7.70186932927481977E+002
       3328,  1, 7.70162125447757131E+002
       3584,  1, 7.70108353320826741E+002
       3840,  1, 7.70076534266702868E+002
       4096,  1, 7.70011508429319609E+002
       4352,  1, 7.69984277785260790E+002
       4608,  1, 7.69352154753959307E+002
       4864,  1, 7.63478318460491176E+002
       5120,  1, 7.49903993492103902E+002
       5376,  1, 7.42989175121763170E+002
       5632,  1, 7.33257016039576792E+002
       5888,  1, 7.33237038952138762E+002
       6144,  1, 7.33129398890598421E+002
       6400,  1, 7.33082335703394878E+002
       6656,  1, 7.33035928853781048E+002
       6912,  1, 7.33019136017273787E+002
       7168,  1, 7.32967022753242916E+002
       7424,  1, 7.32930321054322275E+002
       7680,  1, 7.31254520004417511E+002
       7936,  1, 7.17251564229533765E+002
       8192,  1, 7.13840705840915575E+002
       8448,  1, 7.13801608999328811E+002
       8704,  1, 7.13750202584746087E+002
       8960,  1, 7.13717756697276677E+002
       9216,  1, 7.13635671608273536E+002
       9472,  1, 7.13581805937655938E+002
       9728,  1, 7.13545875148625728E+002
       9984,  1, 7.13515023488001854E+002
      10240,  1, 7.13432768493216231E+002
      10496,  1, 7.13381113319582275E+002
      10752,  1, 7.11145460986586343E+002
      11008,  1, 6.98078600902302416E+002
      11264,  1, 6.94472151877887523E+002
      11520,  1, 6.80677799820764185E+002
      11776,  1, 6.75926160554967885E+002
      12032,  1, 6.61092515139094832E+002
      12288,  1, 6.61057798322008774E+002
      12544,  1, 6.60331375406195354E+002
      12800,  1, 6.51292539833002546E+002
      13056,  1, 6.44806251006507150E+002
      13312,  1, 6.44746471712123508E+002
      13568,  1, 6.43383756394250357E+002
      13824,  1, 6.31622091798300701E+002
      14080,  1, 6.28063667334259415E+002
      14336,  1, 6.16029031918086770E+002
      14592,  1, 6.15007317125875018E+002
      14848,  1, 6.14963404651966230E+002
      15104,  1, 6.14900903205017433E+002
      15360,  1, 6.14841921049820948E+002
      15616,  1, 6.14782605253660184E+002
      15872,  1, 6.14689073496533493E+002
      16128,  1, 6.14636627766555963E+002
      16384,  1, 6.14098367375321645E+002
      16640,  1, 6.05387000026290348E+002
      16896,  1, 5.96943833682401763E+002
      17152,  1, 5.96902226318893881E+002
      17408,  1, 5.96817607085428649E+002
      17664,  1, 5.96760641558671098E+002
      17920,  1, 5.95044746534960683E+002
      18176,  1, 5.83177525976040220E+002
      18432,  1, 5.83042705405844115E+002
      18688,  1, 5.82978073959791095E+002
      18944,  1, 5.80237427065771589E+002
      19200,  1, 5.67746483413376968E+002
      19456,  1, 5.67685140094914213E+002
      19712,  1, 5.67169556074072478E+002
      19968,  1, 5.60018976385780379E+002
      20224,  1, 5.52521786696284270E+002
      20480,  1, 5.52486897177826512E+002
      20736,  1, 5.51074367070615247E+002
      20992,  1, 5.39498646817221750E+002
      21248,  1, 5.36944255169006210E+002
      21504,  1, 5.23848809427060998E+002
      21760,  1, 5.23761327322132112E+002
      22016,  1, 5.23681006493295695E+002
      22272,  1, 5.23625402454000120E+002
      22528,  1, 5.23120493937830472E+002
      22784,  1, 5.17092065752134048E+002
      23040,  1, 5.12633693985748825E+002
      23296,  1, 5.12572315304861205E+002
      23552,  1, 5.11443946959494648E+002
      23808,  1, 5.01579080946000711E+002
      24064,  1, 5.01815384788427433E+002
      24320,  1, 5.01757357384053183E+002
      24576,  1, 4.97456275490384007E+002
      24832,  1, 4.90022113706770030E+002
      25088,  1, 4.89977226368930189E+002
      25344,  1, 4.89243641861369193E+002
      25600,  1, 4.78854203303768880E+002
      25856,  1, 4.76550347239958825E+002
      26112,  1, 4.68467832134410125E+002
      26368,  1, 4.67107201413257469E+002
      26624,  1, 4.58864295601064813E+002
      26880,  1, 4.58803565351444705E+002
      27136,  1, 4.58723951959141886E+002
      27392,  1, 4.58670013567987788E+002
      27648,  1, 4.58586343398215991E+002
      27904,  1, 4.58522727701230504E+002
      28160,  1, 4.58450964604265701E+002
      28416,  1, 4.58379370223693472E+002
      28672,  1, 4.55715261861262750E+002
      28928,  1, 4.48216292197091036E+002
      29184,  1, 4.48155850044802194E+002
      29440,  1, 4.48070861750221404E+002
      29696,  1, 4.48005735257989413E+002
      29952,  1, 4.46799696713811690E+002
      30208,  1, 4.38108031000026915E+002
      30464,  1, 4.36314136758797461E+002
      30720,  1, 4.29383253456875895E+002
      30976,  1, 4.29326240003251665E+002
      31232,  1, 4.29234716365622673E+002
      31488,  1, 4.29144317081016674E+002
      31744,  1, 4.27952102149350034E+002
      32000,  1, 4.20109012325443393E+002
      32256,  1, 4.17170222734950793E+002
      32512,  1, 4.11099935724947692E+002
      32768,  1, 4.11033884405488024E+002
      33024,  1, 4.10928724325387448E+002
      33280,  1, 4.10846846334091922E+002
      33536,  1, 4.09702319283403282E+002
      33792,  1, 4.01850972663894591E+002
      34048,  1, 3.97455558485341208E+002
      34304,  1, 3.91469320356135913E+002
      34560,  1, 3.86568397333024686E+002
      34816,  1, 3.84878811631527349E+002
      35072,  1, 3.84808554619509047E+002
      35328,  1, 3.82659429882373026E+002
      35584,  1, 3.76025069022469504E+002
      35840,  1, 3.72758424533814626E+002
      36096,  1, 3.69790788389309966E+002
      36352,  1, 3.69731955427884715E+002
      36608,  1, 3.68713784139244275E+002
      36864,  1, 3.62530301774312038E+002
      37120,  1, 3.58771958615019875E+002
      37376,  1, 3.55869411147635976E+002
      37632,  1, 3.49664251729424652E+002
      37888,  1, 3.47845245306467092E+002
      38144,  1, 3.42226253444812312E+002
      38400,  1, 3.39387292998678558E+002
      38656,  1, 3.35528705447321376E+002
      38912,  1, 3.35450502139846700E+002
      39168,  1, 3.34581538192559477E+002
      39424,  1, 3.28548057941322156E+002
      39680,  1, 3.28496625005503127E+002
      39936,  1, 3.28170978068623051E+002
      40192,  1, 3.22750406686803048E+002
      40448,  1, 3.20980019416527702E+002
      40704,  1, 3.16012645360127298E+002
      40960,  1, 3.15915455645456954E+002
      41216,  1, 3.15840831179427543E+002
      41472,  1, 3.15764392231601400E+002
      41728,  1, 3.15701819377794013E+002
      41984,  1, 3.15619216360241938E+002
      42240,  1, 3.15542000502906118E+002
      42496,  1, 3.15083914010264231E+002
      42752,  1, 3.09889850702128652E+002
      43008,  1, 3.09376243062511651E+002
      43264,  1, 3.09302063308718438E+002
      43520,  1, 3.05824932023221298E+002
      43776,  1, 3.03157571775372311E+002
      44032,  1, 2.98184646962256730E+002
      44288,  1, 2.96627331988786078E+002
      44544,  1, 2.93093418476333804E+002
      44800,  1, 2.93025678610728160E+002
      45056,  1, 2.92415227337083825E+002
      45312,  1, 2.87383007001269025E+002
      45568,  1, 2.87323538216879064E+002
      45824,  1, 2.86930818276970573E+002
      46080,  1, 2.82498349776621450E+002
      46336,  1, 2.82235281498838405E+002
      46592,  1, 2.82143593661884743E+002
      46848,  1, 2.79060464583169373E+002
      47104,  1, 2.77856929689645389E+002
      47360,  1, 2.77785458150706992E+002
      47616,  1, 2.75858570280631892E+002
      47872,  1, 2.73397948187204889E+002
      48128,  1, 2.69901487951382580E+002
      48384,  1, 2.69770546671640055E+002
      48640,  1, 2.69705380767410546E+002
      48896,  1, 2.69610059388892817E+002
      49152,  1, 2.69158327929594051E+002
      49408,  1, 2.65464424506520095E+002
      49664,  1, 2.65379635641004713E+002
      49920,  1, 2.65296443795588819E+002
      50176,  1, 2.65207493551710935E+002
      50432,  1, 2.63308293636328551E+002
      50688,  1, 2.60889501416687074E+002
      50944,  1, 2.57898003259866996E+002
      51200,  1, 2.56759958402515721E+002
      51456,  1, 2.53933137905265027E+002
      51712,  1, 2.53857152783181940E+002
      51968,  1, 2.53331058168159137E+002
      52224,  1, 2.49872870091275882E+002
      52480,  1, 2.49788740302253705E+002
      52736,  1, 2.49721233246896306E+002
      52992,  1, 2.49647725475791457E+002
      53248,  1, 2.47552929081661110E+002
      53504,  1, 2.44892900557804822E+002
      53760,  1, 2.41145253332005958E+002
      54016,  1, 2.39519362477634881E+002
      54272,  1, 2.37427126307954557E+002
      54528,  1, 2.34607599548445951E+002
      54784,  1, 2.33456988437564366E+002
      55040,  1, 2.31460721266293790E+002
      55296,  1, 2.31392137878943706E+002
      55552,  1, 2.30331220039426309E+002
      55808,  1, 2.28108856587928952E+002
      56064,  1, 2.25630552121216096E+002
      56320,  1, 2.24557503937996198E+002
      56576,  1, 2.21917819962693869E+002
      56832,  1, 2.19147410546018796E+002
