"N", "J", "SWEEPS", "TRANSFS", "GS", "TIMEs", "MAXREΛ"
   1,    0,          1,           0,  1022,       0.001085, 0.00000000000000000E+000
   2,    1,          2,           1,  1019,       0.001196, 0.00000000000000000E+000
   4,    2,          5,          19,  1019,       0.001947, 7.08821054248667926E-016
   8,    4,          6,         122,  1018,       0.002218, 1.13644239051060220E-015
  16,    8,          7,         608,  1017,       0.003520, 1.63048333770335119E-015
  32,   16,          8,        2856,  1016,       0.008679, 5.14374125136292131E-015
  64,   32,         10,       12938,  1014,       0.034653, 6.75925391325600487E-015
 128,   64,         11,       57246,  1013,       0.172035, 1.83732621010922895E-014
 256,  128,         12,      256006,  1012,       1.044235, 3.12066569539621181E-014
 512,  256,         13,     1088631,  1011,       7.092635, 4.27387451067222354E-014
1024,  512,         13,     4713456,  1010,      55.953718, 1.04639005509963492E-013
2048, 1024,         15,    19632623,  1009,     458.905827, 1.57853891052329515E-013
4096, 2048,         18,    83016895,  1007,    4008.358515, 3.50746878987408450E-013
