"RUN", "THge08", "N", "REDET_ε", "RECH_ε", "RESHR_ε", "RESHI_ε"
 1,   -8515205, 1073741824, 1.11444816701872726E+001, 2.09653976325113872E+001, 3.19997733019846994E+001, 3.17732525578455080E+001
 2,   -8508411, 1073741824, 1.09167586741459020E+001, 2.07136427130002109E+001, 3.19291541288335174E+001, 3.24388869446248404E+001
 3,   -8512833, 1073741824, 1.11914383801170136E+001, 2.06647004937404955E+001, 3.17019010952493045E+001, 3.16911305946347427E+001
 4,   -8507510, 1073741824, 1.13238043474776316E+001, 2.10681000906661416E+001, 3.14118300501101059E+001, 3.17175691940264167E+001
 5,   -8512906, 1073741824, 1.06221617860015503E+001, 2.17433608487598378E+001, 3.34952705595752710E+001, 3.24296492251255601E+001
 6,   -8514338, 1073741824, 1.08113400789638905E+001, 2.10130472237789692E+001, 3.09003220408181839E+001, 3.10682122908911546E+001
 7,   -8515660, 1073741824, 1.13623776722433579E+001, 2.14574616717165657E+001, 3.14445272873931020E+001, 3.21744977664642646E+001
 8,   -8520314, 1073741824, 1.11831363838490153E+001, 2.18573609674167992E+001, 3.22673820144595882E+001, 3.15397210759153605E+001
 9,   -8512153, 1073741824, 1.09172827202093197E+001, 2.13571240025842335E+001, 3.17188254465402188E+001, 3.36504526707880103E+001
10,   -8514674, 1073741824, 1.12942074727519268E+001, 2.14660495674367766E+001, 3.34192700594023971E+001, 3.21911164035631744E+001
11,   -8518283, 1073741824, 1.09773783381622667E+001, 2.12990759562250657E+001, 3.20542652380016151E+001, 3.14315901405580743E+001
12,   -8511119, 1073741824, 1.13889956198874697E+001, 2.15515419874984633E+001, 3.27692699084435635E+001, 3.26066307260504158E+001
13,   -8514802, 1073741824, 1.11995432434176311E+001, 2.21609099535950732E+001, 3.23563953060590994E+001, 3.22297178132470692E+001
14,   -8516208, 1073741824, 1.10828381670002312E+001, 2.07653971275456303E+001, 3.10529026552001279E+001, 3.15704237732428278E+001
15,   -8511729, 1073741824, 1.13380491447368793E+001, 2.19907032893293925E+001, 3.13078343499840361E+001, 3.23295644379091339E+001
16,   -8515020, 1073741824, 1.11412497801152681E+001, 2.09869190847021662E+001, 3.21792825282254629E+001, 3.19971218451353655E+001
17,   -8513031, 1073741824, 1.09796752696720969E+001, 2.08916407861110993E+001, 3.17761977955052384E+001, 3.20368629193081014E+001
18,   -8516665, 1073741824, 1.09301293209993839E+001, 2.10317690594771120E+001, 3.13311552703843141E+001, 3.10443548137487021E+001
19,   -8511718, 1073741824, 1.10127497677486257E+001, 2.12253652030811041E+001, 3.10446669480973509E+001, 3.18225623330065229E+001
20,   -8518064, 1073741824, 1.15036481340216232E+001, 2.12491233511734037E+001, 3.25289578016022332E+001, 3.18552869322766019E+001
21,   -8515206, 1073741824, 1.07322617714485403E+001, 2.15806218399440477E+001, 3.34684820010341467E+001, 3.28469898289802920E+001
22,   -8511729, 1073741824, 1.13380491447368793E+001, 2.19907032893293925E+001, 3.13078343499840361E+001, 3.23295644379091339E+001
23,   -8513000, 1073741824, 1.14246853801717876E+001, 2.09911997683188810E+001, 3.15349039970390281E+001, 3.17479203322593753E+001
24,   -8511360, 1073741824, 1.08943068378349774E+001, 2.13014617167326514E+001, 3.27105781018180067E+001, 3.17460243398082023E+001
25,   -8513243, 1073741824, 1.12043658580536585E+001, 2.09010986408568112E+001, 3.19502595895428182E+001, 3.21741060127148765E+001
26,   -8517980, 1073741824, 1.09442339831020945E+001, 2.08714959298664699E+001, 3.13251964106832020E+001, 3.17580224961017357E+001
27,   -8519745, 1073741824, 1.09511624627404645E+001, 2.13431127572552445E+001, 3.21155947712531702E+001, 3.24491826016861958E+001
28,   -8515248, 1073741824, 1.11741535610006183E+001, 2.11535664363813919E+001, 3.22726441749933908E+001, 3.21883792654706477E+001
29,   -8514521, 1073741824, 1.12395876562637124E+001, 2.14001827457823120E+001, 3.18171907072279371E+001, 3.24721283457039031E+001
30,   -8508449, 1073741824, 1.08640713308334466E+001, 2.11441652803404766E+001, 3.22983660208570994E+001, 3.13491531524610411E+001
31,   -8510655, 1073741824, 1.06157588887006495E+001, 2.22151978756597772E+001, 3.17899408397884374E+001, 3.37442433290856345E+001
