"RUN", "THge08", "N", "REDET", "RECH", "RESHR", "RESHI"
 1,    8513127, -1073741824, 1.24329071867008661E-015, 2.37909873823574935E-015, 3.42533299232682873E-015, 3.63689155433295906E-015
 2,    8514091, -1073741824, 1.22523403629420037E-015, 2.43518945817066304E-015, 3.68416320683001509E-015, 3.53533494659455590E-015
 3,    8519244, -1073741824, 1.23243341416760404E-015, 2.38196565942317148E-015, 3.58674353515703444E-015, 3.50564319732185297E-015
 4,    8511500, -1073741824, 1.19964364068543982E-015, 2.33926681098850089E-015, 3.48646335752074629E-015, 3.54758518537635310E-015
 5,    8512889, -1073741824, 1.25814460956499761E-015, 2.32674119072010151E-015, 3.56709857466551805E-015, 3.57961514432946844E-015
 6,    8511419, -1073741824, 1.19361756048300557E-015, 2.38522728663233637E-015, 3.65404939940801282E-015, 3.59832008996788158E-015
 7,    8513555, -1073741824, 1.20069373431142088E-015, 2.28516507542525370E-015, 3.50188143751045182E-015, 3.46949933555232598E-015
 8,    8513584, -1073741824, 1.20653276002401355E-015, 2.33318589632038776E-015, 3.60073965241969081E-015, 3.47929344480737478E-015
 9,    8522164, -1073741824, 1.29791787980146849E-015, 2.34405895674895145E-015, 3.58347316685756148E-015, 3.50493987436016774E-015
10,    8518018, -1073741824, 1.30788622044363557E-015, 2.30980488578233127E-015, 3.50989552052966973E-015, 3.61010352560389578E-015
11,    8513570, -1073741824, 1.25407958390470074E-015, 2.42568763483365279E-015, 3.43454406377312836E-015, 3.54365431340684905E-015
12,    8513060, -1073741824, 1.25500582276788383E-015, 2.43414947247491501E-015, 3.51661429344691085E-015, 3.75071328086737333E-015
13,    8516149, -1073741824, 1.22558721603654506E-015, 2.40837033377188368E-015, 3.57541878282574213E-015, 3.49871946099246274E-015
14,    8517006, -1073741824, 1.27747763290320711E-015, 2.36163004490347951E-015, 3.46369983094176905E-015, 3.54728657611742073E-015
15,    8512975, -1073741824, 1.25014121709587293E-015, 2.35706148208302655E-015, 3.68091332155978267E-015, 3.61087815389988955E-015
16,    8515892, -1073741824, 1.22412928969140335E-015, 2.34698051422261995E-015, 3.59831970974683417E-015, 3.56192649318359987E-015
17,    8515633, -1073741824, 1.19668348020730482E-015, 2.34626041759918165E-015, 3.44070097138924705E-015, 3.60413661180088934E-015
18,    8509278, -1073741824, 1.22448495163431767E-015, 2.44098691926749243E-015, 3.70681734545882182E-015, 3.78617252709329583E-015
19,    8513430, -1073741824, 1.23397687760793127E-015, 2.35985564680169255E-015, 3.62981414454633578E-015, 3.51012899414341400E-015
20,    8514472, -1073741824, 1.27134279379845909E-015, 2.44090518552268875E-015, 3.66038046698595660E-015, 3.71245416934152206E-015
21,    8516307, -1073741824, 1.23231904086683872E-015, 2.37155517453022392E-015, 3.42618557268972775E-015, 3.52732293886119243E-015
22,    8510733, -1073741824, 1.30528675175965785E-015, 2.35347327595954619E-015, 3.46837171274784675E-015, 3.51821805958866675E-015
23,    8516070, -1073741824, 1.21528019944312655E-015, 2.40649542905435286E-015, 3.73740723774939630E-015, 3.64727500814056535E-015
24,    8513659, -1073741824, 1.20403856877222608E-015, 2.32192784617764146E-015, 3.58172557990945981E-015, 3.44997939080363605E-015
25,    8511427, -1073741824, 1.22334894060921971E-015, 2.36673736283840916E-015, 3.49266085391028310E-015, 3.49075722235748725E-015
26,    8515669, -1073741824, 1.22886814747266453E-015, 2.39905826148682569E-015, 3.51413898374081830E-015, 3.55088221285368149E-015
27,    8513710, -1073741824, 1.24256822331507028E-015, 2.33367002896671409E-015, 3.57215909362193947E-015, 3.51985257343106567E-015
28,    8514506, -1073741824, 1.26144734782481693E-015, 2.38323768124230274E-015, 3.49416241864618397E-015, 3.57032512359216280E-015
29,    8515927, -1073741824, 1.24119929944536729E-015, 2.34626022997337865E-015, 3.46033159362896141E-015, 3.52261057339928683E-015
30,    8511261, -1073741824, 1.23624247814846380E-015, 2.39098323198866176E-015, 3.76179194874058433E-015, 3.65798759393856392E-015
31,    8516350, -1073741824, 1.27835338096303670E-015, 2.33776619195077341E-015, 3.49367507757658610E-015, 3.62453969718044274E-015
