"RUN", "THge08", "N", "REDET_ε", "RECH_ε", "RESHR_ε", "RESHI_ε"
 1,   -8513562, 1073741824, 1.08353832379814257E+001, 2.11612106267337291E+001, 3.25873741929470517E+001, 3.14939763004703041E+001
 2,   -8515841, 1073741824, 1.14432286551771153E+001, 2.09297269477070370E+001, 3.19284560886107898E+001, 3.19364194653282160E+001
 3,   -8515805, 1073741824, 1.08612865319292461E+001, 2.08538462194032217E+001, 3.28136336795807696E+001, 3.21437630762554547E+001
 4,   -8514564, 1073741824, 1.07501857921367621E+001, 2.14693547990004809E+001, 3.11625089784590983E+001, 3.13954910678602261E+001
 5,   -8518034, 1073741824, 1.07709859590235304E+001, 2.11618925321593812E+001, 3.23249913638395140E+001, 3.25468656403088763E+001
 6,   -8516946, 1073741824, 1.08819420603788659E+001, 2.23550071475172172E+001, 3.17093131901576928E+001, 3.45439902797944341E+001
 7,   -8521056, 1073741824, 1.06927187730640523E+001, 2.15284603099149239E+001, 3.17844763563480628E+001, 3.14583245982827687E+001
 8,   -8516397, 1073741824, 1.07682953675987968E+001, 2.10868624013022822E+001, 3.26758963159662220E+001, 3.17465761039557168E+001
 9,   -8515566, 1073741824, 1.06859984565525049E+001, 2.10715274423725268E+001, 3.10549499823387364E+001, 3.14175050569975622E+001
10,   -8517225, 1073741824, 1.10935444918440783E+001, 2.08050442264319885E+001, 3.08257127020459571E+001, 3.08528921969730481E+001
11,   -8512965, 1073741824, 1.06444002476988474E+001, 2.14453063481059383E+001, 3.11464675586612710E+001, 3.20277980034790515E+001
12,   -8514671, 1073741824, 1.06781396734511992E+001, 2.13955270287865427E+001, 3.14255917894603543E+001, 3.12153108888660714E+001
13,   -8514781, 1073741824, 1.08154077035819260E+001, 2.12843537341610023E+001, 3.26017054157531920E+001, 3.26556217090870063E+001
14,   -8520006, 1073741824, 1.12105293137930500E+001, 2.11227937320330902E+001, 3.19375742539255235E+001, 3.27607961403459774E+001
15,   -8513093, 1073741824, 1.09902712503929643E+001, 2.10876730306240883E+001, 3.20203574487651398E+001, 3.14982593785931854E+001
16,   -8512221, 1073741824, 1.08237577024278639E+001, 2.07077318737213356E+001, 3.10723215218918057E+001, 3.10205241489234312E+001
17,   -8516180, 1073741824, 1.08740298529247807E+001, 2.06900690153692821E+001, 3.19834272088268435E+001, 3.15448959118976959E+001
18,   -8514134, 1073741824, 1.13649460998903759E+001, 2.10299739788189242E+001, 3.17349783867801369E+001, 3.22021346679495277E+001
19,   -8516888, 1073741824, 1.11815840454197107E+001, 2.14452533445624310E+001, 3.23518138079354979E+001, 3.23238947626953762E+001
20,   -8511858, 1073741824, 1.15012363710833233E+001, 2.12786598453801240E+001, 3.16131647051955843E+001, 3.13783157016715317E+001
21,   -8520248, 1073741824, 1.14265715557848938E+001, 2.07391136570213250E+001, 3.21316322604495590E+001, 3.14912677715638080E+001
22,   -8521162, 1073741824, 1.14449072090330605E+001, 2.09573021246606098E+001, 3.25915251729346205E+001, 3.15748638623715181E+001
23,   -8515625, 1073741824, 1.09087839956743282E+001, 2.19191571508145662E+001, 3.22302374233826847E+001, 3.11180321989122730E+001
24,   -8508180, 1073741824, 1.11219804471256795E+001, 2.13343752851890385E+001, 3.21703881260161349E+001, 3.16449247157367767E+001
25,   -8513861, 1073741824, 1.07619745350411968E+001, 2.15372630188072089E+001, 3.15487603045125819E+001, 3.27498592409896937E+001
26,   -8519399, 1073741824, 1.09580171975612828E+001, 2.06179020965695179E+001, 3.19796983804567161E+001, 3.13068111618209085E+001
27,   -8518743, 1073741824, 1.09562947510740765E+001, 2.13328100671278436E+001, 3.21076041782648053E+001, 3.17936754313415594E+001
28,   -8511391, 1073741824, 1.07576212044691409E+001, 2.13225851259254048E+001, 3.18223141381106986E+001, 3.14618305170663419E+001
29,   -8513380, 1073741824, 1.10285816552818010E+001, 2.11627711258210438E+001, 3.19522853037364839E+001, 3.19765042748910895E+001
30,   -8519200, 1073741824, 1.12912066197538826E+001, 2.09609752807178772E+001, 3.18396639663435141E+001, 3.18339584589606071E+001
31,   -8507570, 1073741824, 1.14320642947439291E+001, 2.07051464073121462E+001, 3.15269542879504200E+001, 3.16695471803702356E+001
