"TRANSF", "SWEEP", "off(A)"
          0,  0, 8.13954085875972795E+002
          1,  1, 8.13941981950504174E+002
        256,  1, 8.07044701636778442E+002
        512,  1, 7.79087592104273542E+002
        768,  1, 7.70305109090504389E+002
       1024,  1, 7.52709261692360495E+002
       1280,  1, 7.52508612656057496E+002
       1536,  1, 7.52428379450901173E+002
       1792,  1, 7.52241149380233648E+002
       2048,  1, 7.51957373565754705E+002
       2304,  1, 7.38061389468168533E+002
       2560,  1, 7.25029761059154055E+002
       2816,  1, 7.12479241178427344E+002
       3072,  1, 7.02042685354121748E+002
       3328,  1, 6.92300084738397225E+002
       3584,  1, 6.82207804757887252E+002
       3840,  1, 6.82067733709919285E+002
       4096,  1, 6.81917989430584981E+002
       4352,  1, 6.81811899471072165E+002
       4608,  1, 6.81167357991397183E+002
       4864,  1, 6.68129954285311821E+002
       5120,  1, 6.61055463805309376E+002
       5376,  1, 6.45964384216639061E+002
       5632,  1, 6.39876939597928094E+002
       5888,  1, 6.27473243040662059E+002
       6144,  1, 6.22802711834380141E+002
       6400,  1, 6.22709587243745221E+002
       6656,  1, 6.21475085900595272E+002
       6912,  1, 6.07741906111884779E+002
       7168,  1, 6.04114156958194743E+002
       7424,  1, 5.90642963461570928E+002
       7680,  1, 5.88957450179227218E+002
       7936,  1, 5.88880297509454165E+002
       8192,  1, 5.87133940317816637E+002
       8448,  1, 5.72466861372625685E+002
       8704,  1, 5.69144508460824451E+002
       8960,  1, 5.53260409719664215E+002
       9216,  1, 5.50741606423399155E+002
       9472,  1, 5.36326319300316750E+002
       9728,  1, 5.32864395198623818E+002
       9984,  1, 5.16079026994516020E+002
      10240,  1, 5.13248316813853087E+002
      10496,  1, 4.99441100942517400E+002
      10752,  1, 4.99309686241559291E+002
      11008,  1, 4.99247334157514491E+002
      11264,  1, 4.93721874604520898E+002
      11520,  1, 4.84092907529290232E+002
      11776,  1, 4.75772014221130089E+002
      12032,  1, 4.70383389096720625E+002
      12288,  1, 4.60591868860462364E+002
      12544,  1, 4.56017045313840864E+002
      12800,  1, 4.47137692247478782E+002
      13056,  1, 4.44164147570654854E+002
      13312,  1, 4.44097866491143675E+002
      13568,  1, 4.43131847243662161E+002
      13824,  1, 4.33663682221756854E+002
      14080,  1, 4.32143057422417252E+002
      14336,  1, 4.23688747632666460E+002
      14592,  1, 4.23370351862391349E+002
      14848,  1, 4.23309869177132288E+002
      15104,  1, 4.21866203887814648E+002
      15360,  1, 4.13974433835251650E+002
      15616,  1, 4.10680833651123629E+002
      15872,  1, 4.03065597008656564E+002
      16128,  1, 4.02964304792907500E+002
      16384,  1, 4.02890039554202974E+002
      16640,  1, 4.02812122144289362E+002
      16896,  1, 4.02731017948254345E+002
      17152,  1, 4.02673362026645011E+002
      17408,  1, 4.02576468671094917E+002
      17664,  1, 4.02506654137792485E+002
      17920,  1, 4.02402369404078884E+002
      18176,  1, 4.02353877660847119E+002
      18432,  1, 4.01110147092121818E+002
      18688,  1, 3.93199832209259077E+002
      18944,  1, 3.93182307646559837E+002
      19200,  1, 3.93129816636192497E+002
      19456,  1, 3.93030198946723028E+002
      19712,  1, 3.92773313133502301E+002
      19968,  1, 3.86033517417018156E+002
      20224,  1, 3.83692435604008279E+002
      20480,  1, 3.83587690630116712E+002
      20736,  1, 3.82633437702398776E+002
      20992,  1, 3.74720104037783599E+002
      21248,  1, 3.74408418226550584E+002
      21504,  1, 3.74362904545625767E+002
      21760,  1, 3.72051523214787181E+002
      22016,  1, 3.65243664906023945E+002
      22272,  1, 3.59417419398021280E+002
      22528,  1, 3.55495654025380724E+002
      22784,  1, 3.49681453849875222E+002
      23040,  1, 3.47890994486817884E+002
      23296,  1, 3.47817421604840555E+002
      23552,  1, 3.46978587590426968E+002
      23808,  1, 3.40471830335661202E+002
      24064,  1, 3.39422821966256708E+002
      24320,  1, 3.34090113048381047E+002
      24576,  1, 3.31155447603186154E+002
      24832,  1, 3.26423775527920077E+002
      25088,  1, 3.20682650247357737E+002
      25344,  1, 3.17504653790318000E+002
      25600,  1, 3.11804593386742567E+002
      25856,  1, 3.11251041650654825E+002
      26112,  1, 3.11197474457974130E+002
      26368,  1, 3.10048321787071818E+002
      26624,  1, 3.04323451298446801E+002
      26880,  1, 3.04224873440406810E+002
      27136,  1, 3.04153533660805904E+002
      27392,  1, 3.04087317764712283E+002
      27648,  1, 3.04005827648074548E+002
      27904,  1, 3.03949655205837651E+002
      28160,  1, 3.02670556534233080E+002
      28416,  1, 2.94451036202966038E+002
      28672,  1, 2.91497263551937379E+002
      28928,  1, 2.87413001469081568E+002
      29184,  1, 2.87331692182934957E+002
      29440,  1, 2.86926279289093821E+002
      29696,  1, 2.81778744698562345E+002
      29952,  1, 2.81241433153708036E+002
      30208,  1, 2.81174382104019989E+002
      30464,  1, 2.81082880931618649E+002
      30720,  1, 2.80967438539563624E+002
      30976,  1, 2.76644083033236032E+002
      31232,  1, 2.74643469684747780E+002
      31488,  1, 2.69005776174179979E+002
      31744,  1, 2.68331682045473220E+002
      32000,  1, 2.68262417736072686E+002
      32256,  1, 2.68177332656125766E+002
      32512,  1, 2.68019177562309824E+002
      32768,  1, 2.64178981451429938E+002
      33024,  1, 2.62391706245791132E+002
      33280,  1, 2.57292793920099535E+002
      33536,  1, 2.56282386608726704E+002
      33792,  1, 2.51425677790971214E+002
      34048,  1, 2.48764374455685499E+002
      34304,  1, 2.46011782615712292E+002
      34560,  1, 2.42303809650465743E+002
      34816,  1, 2.41698127720814860E+002
      35072,  1, 2.41638973519407160E+002
      35328,  1, 2.40314692146037540E+002
      35584,  1, 2.37462404753640199E+002
      35840,  1, 2.33813100296200280E+002
      36096,  1, 2.32216574111725978E+002
      36352,  1, 2.28105317901634893E+002
      36608,  1, 2.27109495424328445E+002
      36864,  1, 2.23838533929514940E+002
      37120,  1, 2.20921813294924819E+002
      37376,  1, 2.18688772667378255E+002
      37632,  1, 2.14996789434323330E+002
      37888,  1, 2.14151138757347576E+002
      38144,  1, 2.10093724546933690E+002
      38400,  1, 2.08143910192114023E+002
      38656,  1, 2.06197662734713506E+002
      38912,  1, 2.02788930616938609E+002
      39168,  1, 2.02340374568120373E+002
      39424,  1, 2.02288659747629152E+002
      39680,  1, 2.02227896017328891E+002
      39936,  1, 2.02029993871051953E+002
      40192,  1, 1.98681414761963508E+002
      40448,  1, 1.98043520584652804E+002
      40704,  1, 1.97972237573946558E+002
      40960,  1, 1.97891412469163861E+002
      41216,  1, 1.97684648754468422E+002
      41472,  1, 1.94925819490613444E+002
      41728,  1, 1.94585173787660951E+002
      41984,  1, 1.94509993204481037E+002
      42240,  1, 1.92070023950032056E+002
      42496,  1, 1.90692689882972042E+002
      42752,  1, 1.87654180463827534E+002
      43008,  1, 1.87379335164930490E+002
      43264,  1, 1.87311472175159678E+002
      43520,  1, 1.87230490011591511E+002
      43776,  1, 1.87173309347099430E+002
      44032,  1, 1.87118853525137466E+002
      44288,  1, 1.85709092264514511E+002
      44544,  1, 1.83495653788522360E+002
      44800,  1, 1.83434815171755194E+002
      45056,  1, 1.83379862400912755E+002
      45312,  1, 1.83320564188439250E+002
      45568,  1, 1.81411709061662564E+002
      45824,  1, 1.79835494821063650E+002
      46080,  1, 1.77293941821795181E+002
      46336,  1, 1.76111090083063818E+002
      46592,  1, 1.74085733556967049E+002
      46848,  1, 1.72130543345621107E+002
      47104,  1, 1.71500598783429718E+002
      47360,  1, 1.71431014307151273E+002
      47616,  1, 1.69797445937110501E+002
      47872,  1, 1.68502296585024324E+002
      48128,  1, 1.66150565035389044E+002
      48384,  1, 1.66023193700635370E+002
      48640,  1, 1.65951864817015545E+002
      48896,  1, 1.64056046523311934E+002
      49152,  1, 1.63401188599385692E+002
      49408,  1, 1.61235261099912218E+002
      49664,  1, 1.59552399665727459E+002
      49920,  1, 1.58610474921058162E+002
      50176,  1, 1.56669033645802641E+002
      50432,  1, 1.55434747245876459E+002
      50688,  1, 1.54240776557804299E+002
      50944,  1, 1.54150463514869206E+002
      51200,  1, 1.54089864929300850E+002
      51456,  1, 1.53990644997462428E+002
      51712,  1, 1.51919582086210702E+002
      51968,  1, 1.50950236348919980E+002
      52224,  1, 1.48800931296227205E+002
      52480,  1, 1.48724826854694146E+002
      52736,  1, 1.48450930596907675E+002
      52992,  1, 1.46418544866480500E+002
      53248,  1, 1.44888205715943710E+002
      53504,  1, 1.44030660057664981E+002
      53760,  1, 1.43961142664938484E+002
      54016,  1, 1.42678692957446746E+002
      54272,  1, 1.41591068726891432E+002
      54528,  1, 1.39742601148319131E+002
      54784,  1, 1.38882955548599637E+002
      55040,  1, 1.37933399934337092E+002
      55296,  1, 1.37863428581588819E+002
      55552,  1, 1.37112560760852889E+002
      55808,  1, 1.36254230101500416E+002
      56064,  1, 1.36169908669549489E+002
      56320,  1, 1.36103204675742160E+002
      56576,  1, 1.36006391078197019E+002
      56832,  1, 1.34514212080572712E+002
      57088,  1, 1.33588364477577075E+002
      57344,  1, 1.32745911161958066E+002
      57600,  1, 1.32671355636376926E+002
      57856,  1, 1.31692346692252966E+002
      58112,  1, 1.30742426617099504E+002
      58368,  1, 1.30654101723872031E+002
      58624,  1, 1.29770980359792515E+002
      58880,  1, 1.28745387946551675E+002
      59136,  1, 1.27373656584777881E+002
      59392,  1, 1.26482630295545973E+002
      59648,  1, 1.25566787856432460E+002
      59904,  1, 1.24243236436128000E+002
      60160,  1, 1.24119946156876086E+002
      60416,  1, 1.23994015191163827E+002
      60672,  1, 1.22822064414062382E+002
      60928,  1, 1.22042780360438989E+002
      61184,  1, 1.21451515406740740E+002
      61440,  1, 1.20141729910730499E+002
      61696,  1, 1.19261920241038281E+002
      61952,  1, 1.18756693113627233E+002
      62208,  1, 1.17847406222544135E+002
      62464,  1, 1.16925593390663003E+002
      62720,  1, 1.16285623415841658E+002
      62976,  1, 1.15674729344178644E+002
      63232,  1, 1.14728457639573577E+002
      63488,  1, 1.14182086317616491E+002
      63744,  1, 1.13706071842914371E+002
      64000,  1, 1.13648857565098926E+002
      64256,  1, 1.13592742125718316E+002
      64512,  1, 1.13390411408599711E+002
      64768,  1, 1.12647938109732161E+002
      65024,  1, 1.11919678116894993E+002
      65280,  1, 1.11722629084835328E+002
      65536,  1, 1.11635819790631953E+002
      65792,  1, 1.10847464501804652E+002
      66048,  1, 1.10768995738240259E+002
      66304,  1, 1.10628737265456298E+002
      66560,  1, 1.09930467640250645E+002
      66816,  1, 1.08814473943336332E+002
      67072,  1, 1.08226286711612016E+002
      67328,  1, 1.07705738630160527E+002
      67584,  1, 1.06957996682230164E+002
      67840,  1, 1.06361401329096096E+002
      68096,  1, 1.05935123875154004E+002
      68352,  1, 1.05327589055056803E+002
      68608,  1, 1.04752765653544505E+002
      68864,  1, 1.04338685687056386E+002
